Dataset,Tool,Job ID,Search Space,N Spacers,N Contigs,Spacer Mbp,Contig Mbp,CPU Time (h),Wall Time (h),Peak Mem (GB),CPUs,Max Distance
ns_100000_nc_20000,x_mapper,20697916,2000000000,100000,20000,3.20,1604.14,2.16,0.42,29.34,38,N/A
ns_3826979_nc_421431_real_baseline,bowtie1,20693675,1612807586949,3826979,421431,129.49,4291.11,109.49,10.43,182.05,38,3
ns_3826979_nc_421431_real_baseline,bowtie2,20697538,1612807586949,3826979,421431,129.49,4291.11,618.22,49.78,164.30,38,N/A
ns_3826979_nc_421431_real_baseline,minimap2,20697704,1612807586949,3826979,421431,129.49,4291.11,451.04,27.94,77.42,38,N/A
ns_3826979_nc_421431_real_baseline,mmseqs2,20697705,1612807586949,3826979,421431,129.49,4291.11,6.55,0.72,172.10,38,min-seq-id=85%
ns_3826979_nc_421431_real_baseline,mummer4,20804503,1612807586949,3826979,421431,129.49,4291.11,72.12,12.51,20.54,38,N/A
ns_3826979_nc_421431_real_baseline,strobealign,20697709,1612807586949,3826979,421431,129.49,4291.11,0.23,0.23,93.29,38,N/A
ns_3826979_nc_421431_real_baseline,x_mapper,20695761,1612807586949,3826979,421431,129.49,4291.11,32.10,2.87,229.82,38,N/A
ns_500000_nc_100000,blastn,20697917,50000000000,500000,100000,16.00,2232.68,2578.12,208.46,33.08,38,perc_id=84%
ns_500000_nc_100000,bowtie1,20704672,50000000000,500000,100000,16.00,2232.68,131.26,24.04,207.01,38,3
ns_500000_nc_100000,bowtie2,20697919,50000000000,500000,100000,16.00,2232.68,210.24,26.82,208.15,38,N/A
ns_500000_nc_100000,indelfree_indexed,20697920,50000000000,500000,100000,16.00,2232.68,414.51,40.23,70.63,38,3
ns_500000_nc_100000,minimap2,20697921,50000000000,500000,100000,16.00,2232.68,70.34,3.22,89.59,38,N/A
ns_500000_nc_100000,mmseqs2,20697922,50000000000,500000,100000,16.00,2232.68,8.30,1.23,217.16,38,min-seq-id=85%
ns_500000_nc_100000,mummer4,20697923,50000000000,500000,100000,16.00,2232.68,14.59,3.26,1.89,38,N/A
ns_500000_nc_100000,strobealign,20697924,50000000000,500000,100000,16.00,2232.68,0.23,0.23,141.83,38,N/A
ns_50000_nc_5000,blastn,20697926,250000000,50000,5000,1.60,402.61,3.35,0.18,0.70,38,perc_id=84%
ns_50000_nc_5000,bowtie1,20704673,250000000,50000,5000,1.60,402.61,3.71,0.21,3.29,38,3
ns_50000_nc_5000,bowtie2,20697928,250000000,50000,5000,1.60,402.61,0.19,0.19,3.77,38,N/A
ns_50000_nc_5000,indelfree_bruteforce,20697929,250000000,50000,5000,1.60,402.61,251.32,10.48,85.46,38,5
ns_50000_nc_5000,indelfree_indexed,20697930,250000000,50000,5000,1.60,402.61,0.10,0.10,66.20,38,5
ns_50000_nc_5000,minimap2,20697931,250000000,50000,5000,1.60,402.61,0.01,0.01,2.64,38,N/A
ns_50000_nc_5000,mmseqs2,20697932,250000000,50000,5000,1.60,402.61,0.02,0.02,11.29,38,min-seq-id=85%
ns_50000_nc_5000,mummer4,20697933,250000000,50000,5000,1.60,402.61,0.04,0.04,0.26,38,N/A
ns_50000_nc_5000,sassy,20697934,250000000,50000,5000,1.60,402.61,18.18,1.06,0.06,38,5
ns_50000_nc_5000,strobealign,20697935,250000000,50000,5000,1.60,402.61,0.00,0.00,2.27,38,N/A
ns_50000_nc_5000,x_mapper,20697936,250000000,50000,5000,1.60,402.61,0.04,0.04,15.75,38,N/A
ns_500_nc_5000_HIGH_INSERTION_RATE,blastn,20697868,2500000,500,5000,0.02,400.78,0.02,0.02,1.46,38,perc_id=84%
ns_500_nc_5000_HIGH_INSERTION_RATE,bowtie1,20704675,2500000,500,5000,0.02,400.78,2.99,0.21,3.64,38,3
ns_500_nc_5000_HIGH_INSERTION_RATE,bowtie2,20697870,2500000,500,5000,0.02,400.78,0.18,0.18,4.09,38,N/A
ns_500_nc_5000_HIGH_INSERTION_RATE,indelfree_bruteforce,20697871,2500000,500,5000,0.02,400.78,0.18,0.18,27.47,38,5
ns_500_nc_5000_HIGH_INSERTION_RATE,indelfree_indexed,20697872,2500000,500,5000,0.02,400.78,0.02,0.02,7.56,38,5
ns_500_nc_5000_HIGH_INSERTION_RATE,minimap2,20697873,2500000,500,5000,0.02,400.78,0.01,0.01,2.69,38,N/A
ns_500_nc_5000_HIGH_INSERTION_RATE,mmseqs2,20697874,2500000,500,5000,0.02,400.78,0.04,0.04,11.21,38,min-seq-id=85%
ns_500_nc_5000_HIGH_INSERTION_RATE,mummer4,20697875,2500000,500,5000,0.02,400.78,0.07,0.07,0.28,38,N/A
ns_500_nc_5000_HIGH_INSERTION_RATE,sassy,20697876,2500000,500,5000,0.02,400.78,0.03,0.03,0.09,38,5
ns_500_nc_5000_HIGH_INSERTION_RATE,strobealign,20697877,2500000,500,5000,0.02,400.78,0.00,0.00,1.85,38,N/A
ns_500_nc_5000_HIGH_INSERTION_RATE,x_mapper,20697878,2500000,500,5000,0.02,400.78,0.07,0.07,13.16,38,N/A
ns_75000_nc_5000,blastn,20697937,375000000,75000,5000,2.40,401.07,4.88,0.30,0.69,38,perc_id=84%
ns_75000_nc_5000,bowtie1,20704674,375000000,75000,5000,2.40,401.07,3.01,0.20,3.67,38,3
ns_75000_nc_5000,bowtie2,20697939,375000000,75000,5000,2.40,401.07,0.18,0.18,3.72,38,N/A
ns_75000_nc_5000,indelfree_bruteforce,20697940,375000000,75000,5000,2.40,401.07,407.00,16.98,85.47,38,5
ns_75000_nc_5000,indelfree_indexed,20697941,375000000,75000,5000,2.40,401.07,2.54,0.14,85.13,38,5
ns_75000_nc_5000,minimap2,20697942,375000000,75000,5000,2.40,401.07,0.02,0.02,2.63,38,N/A
ns_75000_nc_5000,mmseqs2,20697943,375000000,75000,5000,2.40,401.07,0.02,0.02,11.44,38,min-seq-id=85%
ns_75000_nc_5000,mummer4,20697944,375000000,75000,5000,2.40,401.07,0.04,0.04,0.26,38,N/A
ns_75000_nc_5000,sassy,20697945,375000000,75000,5000,2.40,401.07,25.83,1.36,0.08,38,5
ns_75000_nc_5000,strobealign,20697946,375000000,75000,5000,2.40,401.07,0.01,0.01,2.31,38,N/A
