tool_display	tool	fraction	fraction_float	max_distance	AllocCPUS	CPU_Time_Hours	Peak_Memory_Gb	is_long_retry	replaced_failed_job
indelfree_indexed	indelfree_indexed	0.01	0.01	N/A	38	44.38055555555555	31.405658721923828	false	false
indelfree_indexed	indelfree_indexed	0.05	0.05	N/A	38	185.8361111111111	35.8313102722168	false	false
indelfree_indexed	indelfree_indexed	0.1	0.1	N/A	38	418.19555555555553	40.75720977783203	false	false
minimap2	minimap2	0.0005	0.0005	N/A	38	0.029166666666666667	0.761932373046875	false	false
minimap2	minimap2	0.001	0.001	N/A	38	0.043333333333333335	0.7609748840332031	false	false
minimap2	minimap2	0.005	0.005	N/A	38	0.14666666666666667	1.122314453125	false	false
minimap2	minimap2	0.01	0.01	N/A	38	2.607222222222222	1.6501884460449219	false	false
minimap2	minimap2	0.05	0.05	N/A	38	15.636111111111111	5.146064758300781	false	false
minimap2	minimap2	0.1	0.1	N/A	38	34.18666666666667	9.847667694091797	false	false
minimap2	minimap2	1	1.0	N/A	38	517.35	90.6913948059082	false	false
mmseqs2	mmseqs2	0.0005	0.0005	min-seq-id=85%	38	0.06666666666666667	9.994888305664062	false	false
mmseqs2	mmseqs2	0.001	0.001	min-seq-id=85%	38	0.06583333333333333	9.981986999511719	false	false
mmseqs2	mmseqs2	0.005	0.005	min-seq-id=85%	38	0.07194444444444445	10.333229064941406	false	false
mmseqs2	mmseqs2	0.01	0.01	min-seq-id=85%	38	0.07277777777777777	10.748485565185547	false	false
mmseqs2	mmseqs2	0.05	0.05	min-seq-id=85%	38	0.07166666666666667	15.302726745605469	false	false
mmseqs2	mmseqs2	0.1	0.1	min-seq-id=85%	38	0.13361111111111112	22.83514404296875	false	false
mmseqs2	mmseqs2	1	1.0	min-seq-id=85%	38	5.366666666666666	141.7624626159668	false	false
mummer4	mummer4	0.0005	0.0005	N/A	38	0.006666666666666667	0.38628387451171875	false	false
mummer4	mummer4	0.001	0.001	N/A	38	0.008333333333333333	0.12126541137695312	false	false
mummer4	mummer4	0.005	0.005	N/A	38	0.034444444444444444	0.2599945068359375	false	false
mummer4	mummer4	0.01	0.01	N/A	38	0.08166666666666667	0.278717041015625	false	false
mummer4	mummer4	0.05	0.05	N/A	38	0.25833333333333336	0.4282646179199219	false	false
mummer4	mummer4	0.1	0.1	N/A	38	4.644444444444445	2.3141326904296875	false	false
mummer4	mummer4	1	1.0	N/A	38	47.87555555555556	9.023921966552734	false	false
sassy	sassy	0.0005	0.0005	N/A	38	26.244444444444444	2.9534835815429688	false	false
sassy	sassy	0.001	0.001	N/A	38	37.25222222222222	3.1424636840820312	false	false
sassy	sassy	0.005	0.005	N/A	38	212.27833333333334	10.425003051757812	false	false
sassy	sassy	0.01	0.01	N/A	38	439.59777777777776	27.940441131591797	false	false
strobealign	strobealign	0.0005	0.0005	N/A	38	0.005277777777777778	0.6333770751953125	false	false
strobealign	strobealign	0.001	0.001	N/A	38	0.005	0.6698341369628906	false	false
strobealign	strobealign	0.005	0.005	N/A	38	0.009444444444444445	2.023406982421875	false	false
strobealign	strobealign	0.01	0.01	N/A	38	0.015	3.546672821044922	false	false
strobealign	strobealign	0.05	0.05	N/A	38	0.03333333333333333	11.724372863769531	false	false
strobealign	strobealign	0.1	0.1	N/A	38	0.08083333333333333	21.288227081298828	false	false
strobealign	strobealign	1	1.0	N/A	38	0.32083333333333336	116.66894912719727	false	false
x_mapper	x_mapper	0.0005	0.0005	N/A	38	0.025	6.043067932128906	false	false
x_mapper	x_mapper	0.001	0.001	N/A	38	0.029166666666666667	6.067150115966797	false	false
x_mapper	x_mapper	0.005	0.005	N/A	38	0.058611111111111114	4.178245544433594	false	false
x_mapper	x_mapper	0.01	0.01	N/A	38	0.065	7.346378326416016	false	false
x_mapper	x_mapper	0.05	0.05	N/A	38	0.42777777777777776	10.748245239257812	false	false
x_mapper	x_mapper	0.1	0.1	N/A	38	3.363888888888889	10.859634399414062	false	false
x_mapper	x_mapper	1	1.0	N/A	38	45.495555555555555	244.27741622924805	false	false
