tool	distance	n_found	n_total	recall	fraction
mummer4	3	1884	23556	0.07997962302598065	fraction_0.005
sassy	3	23556	23556	1.0	fraction_0.005
strobealign	3	5065	23556	0.2150195279334352	fraction_0.005
x_mapper	3	6963	23556	0.2955934793683138	fraction_0.005
blastn	0	53076	53076	1.0	fraction_0.01
bowtie1	0	53076	53076	1.0	fraction_0.01
bowtie2	0	53076	53076	1.0	fraction_0.01
indelfree_indexed	0	53076	53076	1.0	fraction_0.01
minimap2	0	73	53076	0.001375386238601251	fraction_0.01
mmseqs2	0	52496	53076	0.9890722737207024	fraction_0.01
mummer4	0	53076	53076	1.0	fraction_0.01
sassy	0	53076	53076	1.0	fraction_0.01
strobealign	0	52440	53076	0.9880171829075288	fraction_0.01
x_mapper	0	53033	53076	0.9991898409827418	fraction_0.01
blastn	1	37727	40519	0.9310940546410326	fraction_0.01
bowtie1	1	40184	40519	0.9917322737481181	fraction_0.01
bowtie2	1	40517	40519	0.9999506404402873	fraction_0.01
indelfree_indexed	1	40257	40519	0.9935338976776327	fraction_0.01
minimap2	1	0	40519	0.0	fraction_0.01
mmseqs2	1	39256	40519	0.9688294380414126	fraction_0.01
mummer4	1	29741	40519	0.7340013327081123	fraction_0.01
sassy	1	40519	40519	1.0	fraction_0.01
strobealign	1	32629	40519	0.8052765369332906	fraction_0.01
x_mapper	1	30931	40519	0.763370270737185	fraction_0.01
blastn	2	26325	38352	0.6864048811013768	fraction_0.01
bowtie1	2	37321	38352	0.9731174384647476	fraction_0.01
bowtie2	2	38102	38352	0.9934814351272424	fraction_0.01
indelfree_indexed	2	37705	38352	0.9831299541093033	fraction_0.01
minimap2	2	0	38352	0.0	fraction_0.01
mmseqs2	2	27735	38352	0.7231695869837297	fraction_0.01
mummer4	2	13529	38352	0.352758656654151	fraction_0.01
sassy	2	38352	38352	1.0	fraction_0.01
strobealign	2	20240	38352	0.5277430120984564	fraction_0.01
x_mapper	2	20165	38352	0.5257874426366291	fraction_0.01
blastn	3	18347	52946	0.34652287236051826	fraction_0.01
bowtie1	3	41223	52946	0.7785857288558153	fraction_0.01
bowtie2	3	38152	52946	0.7205832357496317	fraction_0.01
indelfree_indexed	3	42364	52946	0.8001359876100178	fraction_0.01
minimap2	3	0	52946	0.0	fraction_0.01
mmseqs2	3	12717	52946	0.24018811619385788	fraction_0.01
mummer4	3	4157	52946	0.07851395761719487	fraction_0.01
sassy	3	52946	52946	1.0	fraction_0.01
strobealign	3	10441	52946	0.19720092169380124	fraction_0.01
x_mapper	3	12491	52946	0.23591961621274507	fraction_0.01
