tool	distance	n_found	n_total	recall	fraction
minimap2	3	52	79771	0.0006518659663286157	fraction_0.005
mmseqs2	3	56211	79771	0.7046545737172657	fraction_0.005
mummer4	3	42754	79771	0.5359591831618007	fraction_0.005
sassy	3	79771	79771	1.0	fraction_0.005
strobealign	3	51090	79771	0.6404583119178648	fraction_0.005
x_mapper	3	53661	79771	0.6726880695992278	fraction_0.005
blastn	0	53076	53076	1.0	fraction_0.01
bowtie1	0	53076	53076	1.0	fraction_0.01
bowtie2	0	53076	53076	1.0	fraction_0.01
indelfree_indexed	0	53076	53076	1.0	fraction_0.01
minimap2	0	73	53076	0.001375386238601251	fraction_0.01
mmseqs2	0	52496	53076	0.9890722737207024	fraction_0.01
mummer4	0	53076	53076	1.0	fraction_0.01
sassy	0	53076	53076	1.0	fraction_0.01
strobealign	0	52440	53076	0.9880171829075288	fraction_0.01
x_mapper	0	53033	53076	0.9991898409827418	fraction_0.01
blastn	1	90803	93595	0.9701693466531331	fraction_0.01
bowtie1	1	93260	93595	0.9964207489716331	fraction_0.01
bowtie2	1	93593	93595	0.999978631337144	fraction_0.01
indelfree_indexed	1	93333	93595	0.9972007051658742	fraction_0.01
minimap2	1	73	93595	0.0007799561942411454	fraction_0.01
mmseqs2	1	91752	93595	0.980308777178268	fraction_0.01
mummer4	1	82817	93595	0.8848442758694375	fraction_0.01
sassy	1	93595	93595	1.0	fraction_0.01
strobealign	1	85069	93595	0.9089053902452054	fraction_0.01
x_mapper	1	83964	93595	0.8970992040173086	fraction_0.01
blastn	2	117128	131947	0.8876897542194973	fraction_0.01
bowtie1	2	130581	131947	0.9896473584090582	fraction_0.01
bowtie2	2	131695	131947	0.9980901422540869	fraction_0.01
indelfree_indexed	2	131038	131947	0.9931108702736705	fraction_0.01
minimap2	2	73	131947	0.0005532524422684865	fraction_0.01
mmseqs2	2	119487	131947	0.9055681447854063	fraction_0.01
mummer4	2	96346	131947	0.730187120586296	fraction_0.01
sassy	2	131947	131947	1.0	fraction_0.01
strobealign	2	105309	131947	0.7981159101760555	fraction_0.01
x_mapper	2	104129	131947	0.7891729254928115	fraction_0.01
blastn	3	135475	184893	0.7327210873315918	fraction_0.01
bowtie1	3	171804	184893	0.9292077039152374	fraction_0.01
bowtie2	3	169847	184893	0.9186232036907833	fraction_0.01
indelfree_indexed	3	173402	184893	0.9378505405829317	fraction_0.01
minimap2	3	73	184893	0.0003948229516531183	fraction_0.01
mmseqs2	3	132204	184893	0.7150297739773815	fraction_0.01
mummer4	3	100503	184893	0.5435738508218266	fraction_0.01
sassy	3	184893	184893	1.0	fraction_0.01
strobealign	3	115750	184893	0.6260377623814856	fraction_0.01
x_mapper	3	116620	184893	0.6307431865998172	fraction_0.01
