distance_edit	tool	distance_metric	mode	total_possible	tool_matches	recall	fraction
3	sassy	distance_edit	cumulative	14861	14861	1.0	fraction_0.0005
3	strobealign	distance_edit	cumulative	14861	9872	0.6642890787968508	fraction_0.0005
3	x_mapper	distance_edit	cumulative	14861	11870	0.798734943812664	fraction_0.0005
0	blastn	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	bowtie1	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	bowtie2	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	indelfree_bruteforce	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	indelfree_indexed	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	minimap2	distance_edit	cumulative	6741	13	0.0019284972556000593	fraction_0.001
0	mmseqs2	distance_edit	cumulative	6741	6640	0.9850170597834149	fraction_0.001
0	mummer4	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	sassy	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
0	strobealign	distance_edit	cumulative	6741	6703	0.9943628541759383	fraction_0.001
0	x_mapper	distance_edit	cumulative	6741	6741	1.0	fraction_0.001
1	blastn	distance_edit	cumulative	11853	10797	0.9109086307263984	fraction_0.001
1	bowtie1	distance_edit	cumulative	11853	11744	0.9908040158609634	fraction_0.001
1	bowtie2	distance_edit	cumulative	11853	11807	0.9961191259596727	fraction_0.001
1	indelfree_bruteforce	distance_edit	cumulative	11853	11745	0.9908883826879271	fraction_0.001
1	indelfree_indexed	distance_edit	cumulative	11853	11745	0.9908883826879271	fraction_0.001
1	minimap2	distance_edit	cumulative	11853	13	0.0010967687505272926	fraction_0.001
1	mmseqs2	distance_edit	cumulative	11853	11141	0.9399308192018898	fraction_0.001
1	mummer4	distance_edit	cumulative	11853	10237	0.8636632076267612	fraction_0.001
1	sassy	distance_edit	cumulative	11853	11853	1.0	fraction_0.001
1	strobealign	distance_edit	cumulative	11853	11110	0.937315447566017	fraction_0.001
1	x_mapper	distance_edit	cumulative	11853	11381	0.9601788576731629	fraction_0.001
2	blastn	distance_edit	cumulative	16491	13858	0.8403371535989328	fraction_0.001
2	bowtie1	distance_edit	cumulative	16491	16233	0.9843551027833364	fraction_0.001
2	bowtie2	distance_edit	cumulative	16491	16405	0.9947850342611121	fraction_0.001
2	indelfree_bruteforce	distance_edit	cumulative	16491	16255	0.9856891637863077	fraction_0.001
2	indelfree_indexed	distance_edit	cumulative	16491	16255	0.9856891637863077	fraction_0.001
2	minimap2	distance_edit	cumulative	16491	13	0.0007883087744830514	fraction_0.001
2	mmseqs2	distance_edit	cumulative	16491	14429	0.8749621005396884	fraction_0.001
2	mummer4	distance_edit	cumulative	16491	12058	0.7311867079012795	fraction_0.001
2	sassy	distance_edit	cumulative	16491	16491	1.0	fraction_0.001
2	strobealign	distance_edit	cumulative	16491	13932	0.8448244496998363	fraction_0.001
2	x_mapper	distance_edit	cumulative	16491	15046	0.9123764477593839	fraction_0.001
3	blastn	distance_edit	cumulative	22140	16670	0.7529358626919602	fraction_0.001
3	bowtie1	distance_edit	cumulative	22140	20901	0.9440379403794038	fraction_0.001
3	bowtie2	distance_edit	cumulative	22140	20767	0.9379855465221318	fraction_0.001
3	indelfree_bruteforce	distance_edit	cumulative	22140	21078	0.9520325203252032	fraction_0.001
3	indelfree_indexed	distance_edit	cumulative	22140	21078	0.9520325203252032	fraction_0.001
3	minimap2	distance_edit	cumulative	22140	13	0.0005871725383920506	fraction_0.001
3	mmseqs2	distance_edit	cumulative	22140	16553	0.7476513098464318	fraction_0.001
3	mummer4	distance_edit	cumulative	22140	12806	0.5784101174345077	fraction_0.001
3	sassy	distance_edit	cumulative	22140	22140	1.0	fraction_0.001
3	strobealign	distance_edit	cumulative	22140	15331	0.692457091237579	fraction_0.001
3	x_mapper	distance_edit	cumulative	22140	17854	0.8064137308039747	fraction_0.001
0	blastn	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	bowtie1	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	bowtie2	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	indelfree_indexed	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	minimap2	distance_edit	cumulative	21987	52	0.0023650338836585256	fraction_0.005
0	mmseqs2	distance_edit	cumulative	21987	21675	0.9858097966980488	fraction_0.005
0	mummer4	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	sassy	distance_edit	cumulative	21987	21987	1.0	fraction_0.005
0	strobealign	distance_edit	cumulative	21987	21754	0.9894028289443763	fraction_0.005
0	x_mapper	distance_edit	cumulative	21987	21978	0.9995906672124437	fraction_0.005
1	blastn	distance_edit	cumulative	39567	35831	0.9055778805570298	fraction_0.005
1	bowtie1	distance_edit	cumulative	39567	39188	0.9904213106881997	fraction_0.005
1	bowtie2	distance_edit	cumulative	39567	39455	0.9971693583036368	fraction_0.005
1	indelfree_indexed	distance_edit	cumulative	39567	39190	0.9904718578613491	fraction_0.005
1	minimap2	distance_edit	cumulative	39567	52	0.0013142265018828822	fraction_0.005
1	mmseqs2	distance_edit	cumulative	39567	37004	0.9352237976091187	fraction_0.005
1	mummer4	distance_edit	cumulative	39567	33619	0.849672707053858	fraction_0.005
1	sassy	distance_edit	cumulative	39567	39567	1.0	fraction_0.005
1	strobealign	distance_edit	cumulative	39567	36524	0.9230924760532767	fraction_0.005
1	x_mapper	distance_edit	cumulative	39567	36277	0.916849900169333	fraction_0.005
2	blastn	distance_edit	cumulative	56215	46683	0.8304367161789558	fraction_0.005
2	bowtie1	distance_edit	cumulative	56215	55072	0.9796673485724451	fraction_0.005
2	bowtie2	distance_edit	cumulative	56215	55789	0.9924219514364494	fraction_0.005
2	indelfree_indexed	distance_edit	cumulative	56215	55179	0.9815707551365294	fraction_0.005
2	minimap2	distance_edit	cumulative	56215	52	0.0009250200124521925	fraction_0.005
2	mmseqs2	distance_edit	cumulative	56215	48096	0.8555723561327048	fraction_0.005
2	mummer4	distance_edit	cumulative	56215	39917	0.7100773814818109	fraction_0.005
2	sassy	distance_edit	cumulative	56215	56215	1.0	fraction_0.005
2	strobealign	distance_edit	cumulative	56215	45906	0.8166147825313529	fraction_0.005
2	x_mapper	distance_edit	cumulative	56215	46403	0.8254558391888286	fraction_0.005
3	blastn	distance_edit	cumulative	79771	57889	0.7256897870153314	fraction_0.005
3	bowtie1	distance_edit	cumulative	79771	73901	0.9264143611086736	fraction_0.005
3	bowtie2	distance_edit	cumulative	79771	72979	0.9148562760903085	fraction_0.005
3	indelfree_indexed	distance_edit	cumulative	79771	74682	0.9362048864875707	fraction_0.005
3	minimap2	distance_edit	cumulative	79771	52	0.0006518659663286157	fraction_0.005
3	mmseqs2	distance_edit	cumulative	79771	56211	0.7046545737172657	fraction_0.005
3	mummer4	distance_edit	cumulative	79771	42754	0.5359591831618007	fraction_0.005
3	sassy	distance_edit	cumulative	79771	79771	1.0	fraction_0.005
3	strobealign	distance_edit	cumulative	79771	51090	0.6404583119178648	fraction_0.005
3	x_mapper	distance_edit	cumulative	79771	53661	0.6726880695992278	fraction_0.005
0	blastn	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	bowtie1	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	bowtie2	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	indelfree_indexed	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	minimap2	distance_edit	cumulative	53076	73	0.001375386238601251	fraction_0.01
0	mmseqs2	distance_edit	cumulative	53076	52464	0.9884693646846032	fraction_0.01
0	mummer4	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	sassy	distance_edit	cumulative	53076	53076	1.0	fraction_0.01
0	strobealign	distance_edit	cumulative	53076	52440	0.9880171829075288	fraction_0.01
0	x_mapper	distance_edit	cumulative	53076	53033	0.9991898409827418	fraction_0.01
1	blastn	distance_edit	cumulative	93595	85130	0.909557134462311	fraction_0.01
1	bowtie1	distance_edit	cumulative	93595	92868	0.9922324910518724	fraction_0.01
1	bowtie2	distance_edit	cumulative	93595	93323	0.9970938618515947	fraction_0.01
1	indelfree_indexed	distance_edit	cumulative	93595	92867	0.9922218067204445	fraction_0.01
1	minimap2	distance_edit	cumulative	93595	73	0.0007799561942411454	fraction_0.01
1	mmseqs2	distance_edit	cumulative	93595	87797	0.9380522463806827	fraction_0.01
1	mummer4	distance_edit	cumulative	93595	80081	0.8556119450825365	fraction_0.01
1	sassy	distance_edit	cumulative	93595	93595	1.0	fraction_0.01
1	strobealign	distance_edit	cumulative	93595	84868	0.9067578396281852	fraction_0.01
1	x_mapper	distance_edit	cumulative	93595	83672	0.893979379240344	fraction_0.01
2	blastn	distance_edit	cumulative	131947	110197	0.8351610874063071	fraction_0.01
2	bowtie1	distance_edit	cumulative	131947	129678	0.9828037014862028	fraction_0.01
2	bowtie2	distance_edit	cumulative	131947	131020	0.9929744518632482	fraction_0.01
2	indelfree_indexed	distance_edit	cumulative	131947	129810	0.9838041031626334	fraction_0.01
2	minimap2	distance_edit	cumulative	131947	73	0.0005532524422684865	fraction_0.01
2	mmseqs2	distance_edit	cumulative	131947	113808	0.8625281362971496	fraction_0.01
2	mummer4	distance_edit	cumulative	131947	94258	0.7143625849773015	fraction_0.01
2	sassy	distance_edit	cumulative	131947	131947	1.0	fraction_0.01
2	strobealign	distance_edit	cumulative	131947	105088	0.7964409952480921	fraction_0.01
2	x_mapper	distance_edit	cumulative	131947	103607	0.7852167915905629	fraction_0.01
3	blastn	distance_edit	cumulative	184893	135475	0.7327210873315918	fraction_0.01
3	bowtie1	distance_edit	cumulative	184893	171804	0.9292077039152374	fraction_0.01
3	bowtie2	distance_edit	cumulative	184893	169847	0.9186232036907833	fraction_0.01
3	indelfree_indexed	distance_edit	cumulative	184893	173402	0.9378505405829317	fraction_0.01
3	minimap2	distance_edit	cumulative	184893	73	0.0003948229516531183	fraction_0.01
3	mmseqs2	distance_edit	cumulative	184893	132204	0.7150297739773815	fraction_0.01
3	mummer4	distance_edit	cumulative	184893	100503	0.5435738508218266	fraction_0.01
3	sassy	distance_edit	cumulative	184893	184893	1.0	fraction_0.01
3	strobealign	distance_edit	cumulative	184893	115750	0.6260377623814856	fraction_0.01
3	x_mapper	distance_edit	cumulative	184893	116620	0.6307431865998172	fraction_0.01
0	blastn	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	bowtie1	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	bowtie2	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	indelfree_bruteforce	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	indelfree_indexed	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	minimap2	distance_edit	exact	4371	7	0.001601464195836193	fraction_0.0005
0	mmseqs2	distance_edit	exact	4371	4286	0.9805536490505605	fraction_0.0005
0	mummer4	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	sassy	distance_edit	exact	4371	4371	1.0	fraction_0.0005
0	strobealign	distance_edit	exact	4371	4334	0.9915351178220086	fraction_0.0005
0	x_mapper	distance_edit	exact	4371	4371	1.0	fraction_0.0005
1	blastn	distance_edit	exact	3491	2761	0.7908908622171298	fraction_0.0005
1	bowtie1	distance_edit	exact	3491	3419	0.9793755370953882	fraction_0.0005
1	bowtie2	distance_edit	exact	3491	3467	0.9931251790317961	fraction_0.0005
1	indelfree_bruteforce	distance_edit	exact	3491	3419	0.9793755370953882	fraction_0.0005
1	indelfree_indexed	distance_edit	exact	3491	3419	0.9793755370953882	fraction_0.0005
1	minimap2	distance_edit	exact	3491	0	0.0	fraction_0.0005
1	mmseqs2	distance_edit	exact	3491	3029	0.8676596963620739	fraction_0.0005
1	mummer4	distance_edit	exact	3491	2380	0.681753079346892	fraction_0.0005
1	sassy	distance_edit	exact	3491	3491	1.0	fraction_0.0005
1	strobealign	distance_edit	exact	3491	2870	0.8221140074477227	fraction_0.0005
1	x_mapper	distance_edit	exact	3491	3122	0.8942996276138642	fraction_0.0005
2	blastn	distance_edit	exact	3592	2121	0.590478841870824	fraction_0.0005
2	bowtie1	distance_edit	exact	3592	3135	0.8727728285077951	fraction_0.0005
2	bowtie2	distance_edit	exact	3592	3243	0.9028396436525612	fraction_0.0005
2	indelfree_bruteforce	distance_edit	exact	3592	3153	0.8777839643652561	fraction_0.0005
2	indelfree_indexed	distance_edit	exact	3592	3153	0.8777839643652561	fraction_0.0005
2	minimap2	distance_edit	exact	3592	0	0.0	fraction_0.0005
2	mmseqs2	distance_edit	exact	3592	2162	0.6018930957683741	fraction_0.0005
2	mummer4	distance_edit	exact	3592	1259	0.3505011135857461	fraction_0.0005
2	sassy	distance_edit	exact	3592	3277	0.9123051224944321	fraction_0.0005
2	strobealign	distance_edit	exact	3592	1850	0.515033407572383	fraction_0.0005
2	x_mapper	distance_edit	exact	3592	2543	0.7079621380846325	fraction_0.0005
3	blastn	distance_edit	exact	4464	1856	0.4157706093189964	fraction_0.0005
3	bowtie1	distance_edit	exact	4464	3055	0.6843637992831542	fraction_0.0005
3	bowtie2	distance_edit	exact	4464	2715	0.6081989247311828	fraction_0.0005
3	indelfree_bruteforce	distance_edit	exact	4464	3161	0.7081093189964157	fraction_0.0005
3	indelfree_indexed	distance_edit	exact	4464	3161	0.7081093189964157	fraction_0.0005
3	minimap2	distance_edit	exact	4464	0	0.0	fraction_0.0005
3	mmseqs2	distance_edit	exact	4464	1334	0.29883512544802865	fraction_0.0005
3	mummer4	distance_edit	exact	4464	471	0.10551075268817205	fraction_0.0005
3	sassy	distance_edit	exact	4464	3731	0.8357974910394266	fraction_0.0005
3	strobealign	distance_edit	exact	4464	819	0.18346774193548387	fraction_0.0005
3	x_mapper	distance_edit	exact	4464	1834	0.41084229390681004	fraction_0.0005
0	blastn	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	bowtie1	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	bowtie2	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	indelfree_bruteforce	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	indelfree_indexed	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	minimap2	distance_edit	exact	6741	13	0.0019284972556000593	fraction_0.001
0	mmseqs2	distance_edit	exact	6741	6640	0.9850170597834149	fraction_0.001
0	mummer4	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	sassy	distance_edit	exact	6741	6741	1.0	fraction_0.001
0	strobealign	distance_edit	exact	6741	6703	0.9943628541759383	fraction_0.001
0	x_mapper	distance_edit	exact	6741	6741	1.0	fraction_0.001
1	blastn	distance_edit	exact	5112	4056	0.7934272300469484	fraction_0.001
1	bowtie1	distance_edit	exact	5112	5003	0.9786776212832551	fraction_0.001
1	bowtie2	distance_edit	exact	5112	5066	0.991001564945227	fraction_0.001
1	indelfree_bruteforce	distance_edit	exact	5112	5004	0.9788732394366197	fraction_0.001
1	indelfree_indexed	distance_edit	exact	5112	5004	0.9788732394366197	fraction_0.001
1	minimap2	distance_edit	exact	5112	0	0.0	fraction_0.001
1	mmseqs2	distance_edit	exact	5112	4501	0.8804773082942097	fraction_0.001
1	mummer4	distance_edit	exact	5112	3496	0.6838810641627543	fraction_0.001
1	sassy	distance_edit	exact	5112	5112	1.0	fraction_0.001
1	strobealign	distance_edit	exact	5112	4407	0.8620892018779343	fraction_0.001
1	x_mapper	distance_edit	exact	5112	4640	0.9076682316118936	fraction_0.001
2	blastn	distance_edit	exact	5102	3069	0.6015288122304978	fraction_0.001
2	bowtie1	distance_edit	exact	5102	4498	0.8816150529204234	fraction_0.001
2	bowtie2	distance_edit	exact	5102	4607	0.9029792238337907	fraction_0.001
2	indelfree_bruteforce	distance_edit	exact	5102	4519	0.8857310858486868	fraction_0.001
2	indelfree_indexed	distance_edit	exact	5102	4519	0.8857310858486868	fraction_0.001
2	minimap2	distance_edit	exact	5102	0	0.0	fraction_0.001
2	mmseqs2	distance_edit	exact	5102	3288	0.644453155625245	fraction_0.001
2	mummer4	distance_edit	exact	5102	1822	0.35711485691885536	fraction_0.001
2	sassy	distance_edit	exact	5102	4648	0.911015288122305	fraction_0.001
2	strobealign	distance_edit	exact	5102	2824	0.5535084280674245	fraction_0.001
2	x_mapper	distance_edit	exact	5102	3671	0.7195217561740493	fraction_0.001
3	blastn	distance_edit	exact	6716	2820	0.4198927933293627	fraction_0.001
3	bowtie1	distance_edit	exact	6716	4677	0.696396664681358	fraction_0.001
3	bowtie2	distance_edit	exact	6716	4368	0.6503871351995235	fraction_0.001
3	indelfree_bruteforce	distance_edit	exact	6716	4832	0.7194758784991067	fraction_0.001
3	indelfree_indexed	distance_edit	exact	6716	4832	0.7194758784991067	fraction_0.001
3	minimap2	distance_edit	exact	6716	0	0.0	fraction_0.001
3	mmseqs2	distance_edit	exact	6716	2124	0.3162596783799881	fraction_0.001
3	mummer4	distance_edit	exact	6716	750	0.11167361524717094	fraction_0.001
3	sassy	distance_edit	exact	6716	5665	0.8435080405002978	fraction_0.001
3	strobealign	distance_edit	exact	6716	1399	0.2083085169743895	fraction_0.001
3	x_mapper	distance_edit	exact	6716	2812	0.4187016081000596	fraction_0.001
0	blastn	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	bowtie1	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	bowtie2	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	indelfree_indexed	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	minimap2	distance_edit	exact	21987	52	0.0023650338836585256	fraction_0.005
0	mmseqs2	distance_edit	exact	21987	21675	0.9858097966980488	fraction_0.005
0	mummer4	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	sassy	distance_edit	exact	21987	21987	1.0	fraction_0.005
0	strobealign	distance_edit	exact	21987	21754	0.9894028289443763	fraction_0.005
0	x_mapper	distance_edit	exact	21987	21978	0.9995906672124437	fraction_0.005
1	blastn	distance_edit	exact	17593	13853	0.7874154493264367	fraction_0.005
1	bowtie1	distance_edit	exact	17593	17211	0.9782868186210425	fraction_0.005
1	bowtie2	distance_edit	exact	17593	17478	0.9934633092707327	fraction_0.005
1	indelfree_indexed	distance_edit	exact	17593	17213	0.9784005001989428	fraction_0.005
1	minimap2	distance_edit	exact	17593	0	0.0	fraction_0.005
1	mmseqs2	distance_edit	exact	17593	15329	0.871312453816859	fraction_0.005
1	mummer4	distance_edit	exact	17593	11642	0.6617404649576536	fraction_0.005
1	sassy	distance_edit	exact	17593	17590	0.9998294776331496	fraction_0.005
1	strobealign	distance_edit	exact	17593	14774	0.8397658159495254	fraction_0.005
1	x_mapper	distance_edit	exact	17593	14304	0.8130506451429546	fraction_0.005
2	blastn	distance_edit	exact	18271	10870	0.5949318592304745	fraction_0.005
2	bowtie1	distance_edit	exact	18271	15907	0.870614635214274	fraction_0.005
2	bowtie2	distance_edit	exact	18271	16357	0.8952438290186635	fraction_0.005
2	indelfree_indexed	distance_edit	exact	18271	16012	0.8763614471019648	fraction_0.005
2	minimap2	distance_edit	exact	18271	0	0.0	fraction_0.005
2	mmseqs2	distance_edit	exact	18271	11092	0.6070822615073067	fraction_0.005
2	mummer4	distance_edit	exact	18271	6307	0.3451918340539653	fraction_0.005
2	sassy	distance_edit	exact	18271	16674	0.9125937277653111	fraction_0.005
2	strobealign	distance_edit	exact	18271	9384	0.5136007881342017	fraction_0.005
2	x_mapper	distance_edit	exact	18271	10133	0.5545947129330633	fraction_0.005
3	blastn	distance_edit	exact	27833	11244	0.4039808859986347	fraction_0.005
3	bowtie1	distance_edit	exact	27833	18898	0.6789781913555851	fraction_0.005
3	bowtie2	distance_edit	exact	27833	17245	0.6195882585420185	fraction_0.005
3	indelfree_indexed	distance_edit	exact	27833	19571	0.7031581216541516	fraction_0.005
3	minimap2	distance_edit	exact	27833	0	0.0	fraction_0.005
3	mmseqs2	distance_edit	exact	27833	8115	0.2915603779685984	fraction_0.005
3	mummer4	distance_edit	exact	27833	2843	0.10214493586749541	fraction_0.005
3	sassy	distance_edit	exact	27833	23669	0.8503934178852441	fraction_0.005
3	strobealign	distance_edit	exact	27833	5185	0.18628965616354687	fraction_0.005
3	x_mapper	distance_edit	exact	27833	7270	0.2612007329429095	fraction_0.005
0	blastn	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	bowtie1	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	bowtie2	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	indelfree_indexed	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	minimap2	distance_edit	exact	53076	73	0.001375386238601251	fraction_0.01
0	mmseqs2	distance_edit	exact	53076	52464	0.9884693646846032	fraction_0.01
0	mummer4	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	sassy	distance_edit	exact	53076	53076	1.0	fraction_0.01
0	strobealign	distance_edit	exact	53076	52440	0.9880171829075288	fraction_0.01
0	x_mapper	distance_edit	exact	53076	53033	0.9991898409827418	fraction_0.01
1	blastn	distance_edit	exact	40542	32066	0.7909328597503823	fraction_0.01
1	bowtie1	distance_edit	exact	40542	39806	0.9818459868778058	fraction_0.01
1	bowtie2	distance_edit	exact	40542	40261	0.9930689161856839	fraction_0.01
1	indelfree_indexed	distance_edit	exact	40542	39805	0.9818213210991071	fraction_0.01
1	minimap2	distance_edit	exact	40542	0	0.0	fraction_0.01
1	mmseqs2	distance_edit	exact	40542	35333	0.871515958758818	fraction_0.01
1	mummer4	distance_edit	exact	40542	27013	0.6662966799861871	fraction_0.01
1	sassy	distance_edit	exact	40542	40533	0.9997780079917123	fraction_0.01
1	strobealign	distance_edit	exact	40542	32439	0.8001331952049726	fraction_0.01
1	x_mapper	distance_edit	exact	40542	30649	0.7559814513344186	fraction_0.01
2	blastn	distance_edit	exact	42031	25116	0.597558944588518	fraction_0.01
2	bowtie1	distance_edit	exact	42031	36886	0.8775903499797768	fraction_0.01
2	bowtie2	distance_edit	exact	42031	37773	0.8986938212271894	fraction_0.01
2	indelfree_indexed	distance_edit	exact	42031	37017	0.8807070971425852	fraction_0.01
2	minimap2	distance_edit	exact	42031	0	0.0	fraction_0.01
2	mmseqs2	distance_edit	exact	42031	26011	0.6188527515405297	fraction_0.01
2	mummer4	distance_edit	exact	42031	14210	0.3380837952939497	fraction_0.01
2	sassy	distance_edit	exact	42031	38433	0.9143965168566058	fraction_0.01
2	strobealign	distance_edit	exact	42031	20236	0.48145416478313624	fraction_0.01
2	x_mapper	distance_edit	exact	42031	19969	0.47510171064214507	fraction_0.01
3	blastn	distance_edit	exact	62486	25402	0.40652306116570114	fraction_0.01
3	bowtie1	distance_edit	exact	62486	42311	0.6771276765995583	fraction_0.01
3	bowtie2	distance_edit	exact	62486	38997	0.62409179656243	fraction_0.01
3	indelfree_indexed	distance_edit	exact	62486	43775	0.7005569247511443	fraction_0.01
3	minimap2	distance_edit	exact	62486	0	0.0	fraction_0.01
3	mmseqs2	distance_edit	exact	62486	18396	0.294401946035912	fraction_0.01
3	mummer4	distance_edit	exact	62486	6271	0.1003584802995871	fraction_0.01
3	sassy	distance_edit	exact	62486	53220	0.8517107832154402	fraction_0.01
3	strobealign	distance_edit	exact	62486	10674	0.17082226418717794	fraction_0.01
3	x_mapper	distance_edit	exact	62486	13042	0.20871875300067216	fraction_0.01
