simulation,threshold,metric,n_spacers,n_contigs,spacer_bp,contig_bp,count_product,length_product,n_non_planned,non_planned_rate,per_spacer_per_gbp,per_gbp2
ns_100000_nc_20000,5,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,965071,70.14922877869365,6.016112113627457,187992576.48234996
ns_50000_nc_5000,0,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,0,0.0,0.0,0.0
ns_50000_nc_5000,0,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,0,0.0,0.0,0.0
ns_50000_nc_5000,1,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,0,0.0,0.0,0.0
ns_50000_nc_5000,1,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,0,0.0,0.0,0.0
ns_50000_nc_5000,2,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,0,0.0,0.0,0.0
ns_50000_nc_5000,2,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,4,0.004751778947243374,0.00019870515277482928,6210.8868921124495
ns_50000_nc_5000,3,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,26,0.022078804347826088,0.0012915834930363904,40370.76479873092
ns_50000_nc_5000,3,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,173,0.1423282599753188,0.008593997857511367,268620.85808386345
ns_50000_nc_5000,4,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,414,0.2634375417586683,0.020565983312194832,642826.7933336385
ns_50000_nc_5000,4,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,5465,3.254138382755746,0.2714809149786105,8485624.216348633
ns_50000_nc_5000,5,Hamming,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,5579,2.7791199868491185,0.27714401183269316,8662634.492773838
ns_50000_nc_5000,5,Edit,50000,5000,1599652.0,402606570.0,250000000,644030404913640.0,121141,37.51889246778989,6.017835228073898,188098262.24934855
ns_75000_nc_5000,0,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,0,0.0,0.0,0.0
ns_75000_nc_5000,0,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,0,0.0,0.0,0.0
ns_75000_nc_5000,1,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,0,0.0,0.0,0.0
ns_75000_nc_5000,1,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,0,0.0,0.0,0.0
ns_75000_nc_5000,2,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,0,0.0,0.0,0.0
ns_75000_nc_5000,2,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,6,0.004734325437530575,0.000199464034156301,6229.119085057984
ns_75000_nc_5000,3,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,39,0.02198124267291911,0.0012965162220159566,40489.2740528769
ns_75000_nc_5000,3,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,280,0.15290352879501096,0.009308321593960714,290692.2239693726
ns_75000_nc_5000,4,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,660,0.27931187710277405,0.02194104375719311,685203.0993563782
ns_75000_nc_5000,4,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,8198,3.2503756685711114,0.2725343586688926,8511053.043217558
ns_75000_nc_5000,5,Hamming,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,8581,2.84030915379905,0.28526681284920313,8908678.478147093
ns_75000_nc_5000,5,Edit,75000,5000,2401592.0,401074812.0,375000000,963218059900704.0,179631,37.180676008527726,5.971653986588417,186490481.72800845
